size_bytes,size_h,path
313135936,298.6MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\proteomics_all_20250211.csv
77025432,73.5MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\proteomics_all_20250211.parquet
70080613,66.8MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\WES_pureCN_CNV_segments_20221214.csv
15217921,14.5MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\20231023_092657_imputed_drugresponse - Copy.csv
10248907,9.8MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\WES_pureCN_CNV_segments_20221214.parquet
8431160,8.0MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\20231023_092657_imputed_drugresponse - Copy.parquet
4468282,4.3MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_ANOVA_Fri Aug  8 06_32_33 2025.csv
2762974,2.6MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_IC_Fri Aug  8 06_33_45 2025.csv
2365266,2.3MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\driver_mutations_20221208.csv
1735408,1.7MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_Genetic_features_Fri Aug  8 06_37_05 2025.csv
1288233,1.2MB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\model_list_20250630.csv
887151,866.4KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_ANOVA_Fri Aug  8 06_32_33 2025.parquet
416194,406.4KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_IC_Fri Aug  8 06_33_45 2025.parquet
355768,347.4KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\depmap_export_2025-08-08 05_47_16.563387_subsetted (1).csv
254493,248.5KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\model_list_20250630.parquet
240869,235.2KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\driver_mutations_20221208.parquet
51332,50.1KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\depmap_export_2025-08-08 05_47_16.563387_subsetted (1).parquet
48214,47.1KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\growth_rate_20220907.csv
23158,22.6KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\BRCA_Genetic_features_Fri Aug  8 06_37_05 2025.parquet
20474,20.0KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\growth_rate_20220907.parquet
8979,8.8KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\manifest.parquet
1588,1.6KB,D:\breast_cancer_project_root\data\02_interim\structured_annotated\manifest.csv
