status,original_corrupted_path,new_sanitized_path_or_error
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE122nnn_GSE122934\,,dead_links.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE122nnn_GSE122934\sanitized_87687ffc9c24.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE122nnn_GSE122934\,Exosomal.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE122nnn_GSE122934\sanitized_d2136ecc5881.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE129nnn_GSE129033\,,dead_links.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE129nnn_GSE129033\sanitized_87687ffc9c24.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE113nnn_GSE113863\,,dead_links.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE113nnn_GSE113863\sanitized_87687ffc9c24.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE113nnn_GSE113863\,Targeted.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE113nnn_GSE113863\sanitized_7e486ee5515e.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE100nnn_GSE100206\,Exosomal.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE100nnn_GSE100206\sanitized_d2136ecc5881.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE106nnn_GSE106685\,,urls.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE106nnn_GSE106685\sanitized_a54918e1c5c9.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_platforms_GPLnnn_GPL570\,,urls.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_platforms_GPLnnn_GPL570\sanitized_a54918e1c5c9.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE100nnn_GSE100206\,,dead_links.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_series_GSE100nnn_GSE100206\sanitized_87687ffc9c24.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_platforms_GPL6nnn_GPL6480\,,urls.txt.part",D:\breast_cancer_project_root\data\01_raw\BRCA\ftp.ncbi.nlm.nih.gov\geo_platforms_GPL6nnn_GPL6480\sanitized_a54918e1c5c9.part
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\file\2979,,breast_nanomedicine_portals_to_crawl",D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\file\sanitized_e5d08f2db02d
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\2979,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE",D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\sanitized_163ed21386b8
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\file\2979,nanomedicine,Web",D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\file\sanitized_9408963abdd5
SUCCESS,"D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\2979,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\2979,2025-09-02","D:\breast_cancer_project_root\data\01_raw\BRCA\fairsharing.org\2979,ok,D__breast_cancer_project_root_data_01_raw_zipped_NANOMEDICINE\sanitized_3b41ff0dbd31"
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source.txt.sha256,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source\sanitized_58a91dd8eda2.sha256
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.sha256.source.txt,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\sanitized_eaad34712928.txt
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source.txt,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.source\sanitized_f4727d43c258.txt
SUCCESS,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf.sha256.sha256,D:\breast_cancer_project_root\data\01_raw\BRCA\ESO–ESMO fifth international consensus guidelines for breast cancer in young women (BCY5).pdf\sanitized_3e7633851e8c.sha256
